URL,ID,Date,Author,Comment
,24,"Mar 2, 2016",TUCS,"STEAL from the successful workers and give to the slackers in order to create the mythical Utopia............sorry folks, it has never worked, it is not working, it will never work..............it's just a vote-getter for rich liberals who hate themselves and hate America."
,25,"Mar 2, 2016",LvLupLife,@TUCS  I worked hard as a Marine Iraq Vet and work hard as a proud VA employee continuing to serve my fellow brothers and sisters of war....do you consider me a slacker cause I support Bernie Sanders????
,26,"Mar 3, 2016",cammosutra,@LvLupLife @TUCS  I don't. Semper Fi. And thank you.  Go Bernie!!
,27,"Mar 3, 2016",hymisser,@TUCS The real slackers are the corporate thieves that have raided our treasury.
,28,"Mar 3, 2016",hymisser,"@TUCS  You have it backwards. Corporate control of America is destroying the middle class with their slave wages, outsourcing of jobs with tax breaks, austerity programs on the struggling cities, profitable wars, and tax havens."
,29,"Mar 2, 2016",Rolandw1,"As for Socialism it should be ABOLISHED NOW!

I'm tired of paying taxes from my two jobs for roads and police and fireman.
I don't drink water so why do I need to pay to have someone check it for lead. 
Social Security is for those that don't have two jobs. I will die sooner because I work harder. I have no need for Social Security. 

END SOCIALISM NOW. 

Let us all go at it Road Warrior style. "
,30,"Mar 2, 2016",TSteinbach,"@Rolandw1 police, firemen and roads aren't socialism. Socialism is when the government owns the means of production."
,31,"Mar 4, 2016",Weirdoonparade,"@TSteinbach @Rolandw1 
So on that note.... Sanders promoting Health and Education. Is that socialism? "
,32,"Mar 2, 2016",ShadowDarter,"If the government wants to reduce the budget, how about having unfunded wars, billions spent and to many lives placed at risk by those that know no cost for their decisions."
,33,"Mar 2, 2016",Rolandw1,"@ShadowDarter You mean the ""W a r  P i g s"" in DC. 
You want them to get a clue...

No chance there. "
,34,"Mar 2, 2016",justme33355,@Rolandw1 @ShadowDarter Either we defeat Islam or be ruled by it. THEY have declared war on US.
,35,"Mar 3, 2016",hymisser,@justme33355 @Rolandw1 @ShadowDarter Wars are profitable to the defense industry and disastrous to the slaughter of civilians and soldiers killed for corporate greed.
,36,"Mar 4, 2016",Weirdoonparade,"@justme33355 @Rolandw1 @ShadowDarter 
It's not defeating Islam, Thats like saying defeating Christianity. 
You need to stop the extremists you are hiding behind Islam. "
,37,"Mar 2, 2016",Rolandw1,"@ShadowDarter DC will serve the interests of the Rich Sunni leaders so long as their unlimited ""speech"" allows them to bribe, I mean, suggest to those in DC what to do."
,38,"Mar 2, 2016",moonbatgaloop,"Once Mechanical french fry and hamburger dispensers become reality, there will be no jobs left liberals could do"
,39,"Mar 2, 2016",freedomisourss,@moonbatgaloop you know the majority of people with post graduate degrees vote Democrat right?..... So....
,40,"Mar 2, 2016",MrSoundByte,"@freedomisourss @moonbatgaloop Yes pretty much any profession that you don't physically have to work at are Democrats. Lawyers, teachers, professors, journalist... ""If you are good at talking about what all is wrong with the world, but have no solutions to fix them... You might be a Democrat!"""
,41,"Mar 2, 2016",MattCrowe,"@MrSoundByte @freedomisourss @moonbatgaloop

As opposed to the Righty solution of ""Build a wall"""
,42,"Mar 2, 2016",MrSoundByte,"@MattCrowe @MrSoundByte @freedomisourss @moonbatgaloop I would actually ""Build a wall, seal a tunnel!"""
,43,"Mar 2, 2016",Rolandw1,"@MrSoundByte @MattCrowe @freedomisourss @moonbatgaloop The wall is a symbol.

The real effective act would be to not give people who are not here legally jobs. And severely punish people who do. 

Then they will mostly self deport. "
,44,"Mar 2, 2016",frylock243,"@MattCrowe @MrSoundByte @freedomisourss @moonbatgaloop Building a wall would actually employ people who live here as opposed to letting in any Juan, Diego, and Javier who has no job and no prospects for anything."
,45,"Mar 4, 2016",Weirdoonparade,"@MrSoundByte @freedomisourss @moonbatgaloop 
Only talking in labels does not solve any problems. "
,46,"Mar 2, 2016",LiberalsHateWomenAndBlacks,"sanders is a whinger fom the 60s
hardly worked a day in his life
and wants to take our money fom those that work and give it to those that do what he did
nothing
oh wait
he did write about masturbating
the only ""job"" a liberal is good at"
,47,"Mar 2, 2016",Rolandw1,"@LiberalsHateWomenAndBlacks He worked hard enough to beat the GOP when the party went against him.
And beat the Democrats when the party ran against him to get his Independent seat. 

I think that might have taken a bit of effort. "
,48,"Mar 2, 2016",autobug2,"@Rolandw1 @LiberalsHateWomenAndBlacks

Let's see how hard Bernie works when he bows out of the race here shortly. Most of us see him for what he is: 

A wrong choice for the country. "
,49,"Mar 4, 2016",Weirdoonparade,"@autobug2 @Rolandw1 @LiberalsHateWomenAndBlacks 
A person promoting health and education is wrong for the country?

A shame to spread such ignorance."
,50,"Mar 3, 2016",MrSoundByte,@Rolandw1 VT is all a bunch of thieving white rich people that feel guilty about themselves now.  Of course Sanders does well there! LOL
,51,"Mar 4, 2016",Weirdoonparade,"@MrSoundByte @Rolandw1 
Adding LOL doesn't make your comment funny or you smart. 
Please provide any real evidence to support your claim. "
,52,"Mar 5, 2016",JesseCorder,@LiberalsHateWomenAndBlacks It's like you play cut-ups with bumper stickers.
,53,"Mar 2, 2016",LiberalsHateWomenAndBlacks,"If Oh Canadah has such a wonderful and efficient socialist health care system
why are there 90 day waits for specialists
and sometimes waits nearing 9 months 
yet Oh Canadah will send those they are unable to treat due to their budget constraints
to Amerian evil hospitals
and you want us to be just like you?
where will you send your overflow when we sukkk as bad as you?
and where will we send the ten times the number of our overflow
since we are ten times your population?"
,54,"Mar 2, 2016",MrSoundByte,@LiberalsHateWomenAndBlacks Canadian Health care ranks about the same as America's VA medical system. Perhaps a little less!
,55,"Mar 2, 2016",parkhaven3,"@MrSoundByte @LiberalsHateWomenAndBlacks That depends. If you are a member of the medical profession or have a high rank, the VA is a very good health care system. The drug benefit is better than the private sector in most cases. They don't have access to the highest tech equipment in every location, but you can get to it if you need to so long as you have the knowledge to know what to ask for and know who to ask. The Canadian system sucks. Many people die each year because they ration care. "
,56,"Mar 2, 2016",MrSoundByte,@parkhaven3 @MrSoundByte @LiberalsHateWomenAndBlacks I get VA benefits so yes you are right. I was just comparing the wait times are somewhat similar. Yes the drug coverage is the best!
,57,"Mar 2, 2016",parkhaven3,"@MrSoundByte @parkhaven3 @LiberalsHateWomenAndBlacks I have VA as well. If I need something that they don't have, I just go over to the Cleveland Clinic. It is no big deal. But then, I am a member of the club and that might have something to do with it. "
,58,"Mar 3, 2016",MrSoundByte,"@parkhaven3 @MrSoundByte @LiberalsHateWomenAndBlacks Now you can, but for years you didn't have that option."
,59,"Mar 2, 2016",freedomisourss,@MrSoundByte @LiberalsHateWomenAndBlacks The VA system is govt healthcare... 
,60,"Mar 2, 2016",MrSoundByte,"@freedomisourss @MrSoundByte @LiberalsHateWomenAndBlacks Yes it is, but it is a benefit for serving your country!"
,61,"Mar 2, 2016",Rolandw1,"@MrSoundByte @freedomisourss @LiberalsHateWomenAndBlacks SOCIALISM.

End the VA now. 

Disband the military.

Let us go Road Warrior Style and Socialism FREE. "
,62,"Mar 2, 2016",autobug2,"@Rolandw1 @MrSoundByte @freedomisourss @LiberalsHateWomenAndBlacks

You watched too many Mad Maxx re-runs pal. Get a grip."
,63,"Mar 2, 2016",steamingpileofmitt,Longer waits for specialists in the usa- if you even are accepted
,64,"Mar 3, 2016",cammosutra,"@LiberalsHateWomenAndBlacks  The American Healthcare Industry works very well for those who have money, but the poorer you are the worse it gets. The major industrial countries in the world have figured out affordable health care for all of their citizens. Why can't we?"
,65,"Mar 2, 2016",sbcos,"It wasn't enough that Sanders FUBAR'd Vermont, he had to FUBAR the US Senate, and now he wants to FUBAR the rest of the United States.  God help the United States of America!!!!"
,66,"Mar 2, 2016",ichbinerbrechen,@sbcos LOL!
,67,"Mar 2, 2016",sbcos,@ichbinerbrechen @sbcos You're a nitwit just like Sanders.  Looks like the intelligent one of you dribbled down your father's leg.
,68,"Mar 2, 2016",ichbinerbrechen,"@sbcos @ichbinerbrechen is that right, micropenis? LOL!"
,69,"Mar 2, 2016",sbcos,"@ichbinerbrechen @sbcos You shouldn't talk about your father that way nitwit, that's how you got to be the way you are."
,70,"Mar 2, 2016",ichbinerbrechen,"@sbcos @ichbinerbrechen LOL! It's a school night; shouldn't you be in bed? LOL! But this is fun, do continue. "
,71,"Mar 2, 2016",sbcos,"@ichbinerbrechen @sbcos Well I'm turning in for the night.  I have a full day's worth of work that I enjoy doing, and you have a full day of video games and slapping the salami in your mother's basement."
,72,"Mar 2, 2016",ichbinerbrechen,"@sbcos @ichbinerbrechen LOL! Goodnight, micropenis! :-*"
,73,"Mar 2, 2016",afghanmountaingoat,@sbcos @ichbinerbrechen  Enjoy your burger flipping.
,74,"Mar 3, 2016",cammosutra,@sbcos  And yet they re elect him? Doesn't sound like he FUBARed Vermont to me.
,75,"Mar 2, 2016",ichbinerbrechen,Democratic Socialism is not real socialism. Real socialism means the government owns the means of production; industry is nationalized. Democratic Socialism is just a 'kinder' incarnation of capitalism. 
,76,"Mar 2, 2016",LiberalsHateWomenAndBlacks,"@ichbinerbrechen 
and still a royal gubmint screwing of the hardest workers
 "
,77,"Mar 2, 2016",ichbinerbrechen,@LiberalsHateWomenAndBlacks @ichbinerbrechen it's actually the opposite
,78,"Mar 2, 2016",JoeBugger,@ichbinerbrechen @LiberalsHateWomenAndBlacks No it's not.  Steal from those that work.  Give to the couch potatoes.  That's socialism.
,79,"Mar 2, 2016",sbcos,@ichbinerbrechen Just what do you think he's proposing?  Don't you know just how FUBAR'd Vermont is after this nitwit got done messing it up.  Please do some research before talking about things you know nothing about.
,80,"Mar 2, 2016",ichbinerbrechen,"@sbcos @ichbinerbrechen I know what socialism is, which is more than what can be said for you :-*"
,81,"Mar 2, 2016",justme33355,@ichbinerbrechen @sbcos Socialism cannot work in this country. It's already been tried and failed miserably.
,82,"Mar 2, 2016",ichbinerbrechen,"@justme33355 @ichbinerbrechen @sbcos no, it's never been tried. But then, I don't advocate socialism."
,83,"Mar 2, 2016",freedomisourss,@justme33355 @ichbinerbrechen @sbcos tried... when? What history book are you reading friend? One your mom typed up for your 12 years of home schooling? Don't tell people to read when you obviously have learned a distorted laughably incorrect version of history. 
,84,"Mar 2, 2016",parkhaven3,@ichbinerbrechen Democratic socialism is an oxymoron. The last thing socialist/communist societies are is democratic. 
,85,"Mar 2, 2016",ichbinerbrechen,"@parkhaven3 @ichbinerbrechen well, there's never been such a society based on the Marx/Engels paradigm. But according to Marx, true communism is a dictatorship of the proletariat. The workers own the means of production and run it in the interests of the workers, in order to subvert the class oppressions of the bourgeoisie. "
,86,"Mar 2, 2016",frylock243,"@ichbinerbrechen No, Democratic Socialism is just secondary socialism. You get it from two ends there. The man who decides to raise cows in Democratic Socialism must still invest his own capital into buying them and the means to raise them, but after that, the government regulates his business so tightly that the government may as well own and run the business. And, after he sells and makes his profit, the government taxes away the lion's share (i.e. most of it) in order to redistribute the wealth as IT sees fit rather than letting the actual business owner realize most of the reward for taking the risk of being the owner.
What Democratic Socialism really ends up being is something along the lines of Mussolini's fascism, and if you study it, Mussolini did refer to his brand of fascism interchangeably with socialism."
,87,"Mar 2, 2016",Nova46,"Up here in Canada, we have a far more socialized system of government than in the US, and according to the latest research, the Canadian middle class is the most affluent in the world.  Yes, Canada's middle class is richer than the American middle class.  And this is with universal healthcare (socialized medicine), and a much stronger social safety net (entitlements) than the US.  Our public education system does a better job of educating our students according to international tests;  as well, our schools provide more equitable outcomes for students from higher and lower economic backgrounds. We have virtually no charter schools.

The Scandinavian countries that practice Sanders-style socialism have healthy economies and just as important, healthy and equitable societies.  The Danes are the happiest people on earth.

I do not understand why so many Americans fear socialism - it's just a way of running a country that believes that the greater good for all is more important than the potential for the very few to get obscenely rich."
,88,"Mar 2, 2016",MrSoundByte,"@Nova46 Ok apprise me of all the accomplishments Canada has provided the world with? If it wasn't for America there would be NO electronics! Which pretty much is everything in todays world. Without incentive there is no reason to create anything. The only thing from Canada I have ever seen is singers, actors and hockey! All of which would most likely not exist if it wasn't for the U.S.A.!"
,89,"Mar 2, 2016",LiberalsHateWomenAndBlacks,"@MrSoundByte 
ummm
they gave us the mechanical arm on the Space Shuttle
and then Obama defunded them
so that NASA could concentrate on making muslims feel better about being terrorists
 
 "
,90,"Mar 2, 2016",MrSoundByte,@LiberalsHateWomenAndBlacks @MrSoundByte Good one! :-)
,91,"Mar 2, 2016",sbcos,"@Nova46 Who cares what you have to say Marxist.  Go put your rose colored glasses on and call a doctor who can treat your sociopathical tendencies.  Oh yeah that's right, all the good doctors who could treat you for that left and moved south to the United States. "
,92,"Mar 2, 2016",Nova46,"@sbcos @Nova46

Why the attack?"
,93,"Mar 2, 2016",ichbinerbrechen,@Nova46 @sbcos micropenis 
,94,"Mar 2, 2016",MrSoundByte,@ichbinerbrechen @Nova46 @sbcos Is that a Canadian achievement? ;-)
,95,"Mar 2, 2016",ichbinerbrechen,"@MrSoundByte @ichbinerbrechen @Nova46 @sbcos no, it's an anatomical defect that sbcos has. It's very sad."
,96,"Mar 2, 2016",seldls,"@Nova46 
hmm lets see 35 mil people vs 300+ million. Lets see your system work with 300 million then come talk till then no one cares Canada worry about your own problems."
,97,"Mar 2, 2016",MrSoundByte,@seldls @Nova46 That was my next post! :-)
,98,"Mar 2, 2016",stinkypig,"@Nova46 here's the problem... define middle class..do you have debt in excess to your GDP? Do you have a litigious society? Do you have millions of illegal aliens? Do you have to police the world? The entire population of Canada is less than the two largest American cities...get the picture? Apples to Oranges comparisons don't do justice to reality. And everyone here has healthcare...they just get a bill, which sometimes leads to difficulty but not often catastrophic difficulty on a population basis. And of course, your well to do come here for medical care, because it's generally as good or better and much faster!!! And by the way, we don't curtsy to monarch or big govt - our culture is a bit different!!!"
,99,"Mar 2, 2016",freedomisourss,"@stinkypig @Nova46 The US Debt as a % of its GDP is actually one of the lower proportions in the world....... it seems really big, and it is, but with a massive GDP of 17 trillion plus, that debt is by % smaller than the vast majority of countries world wide.... including China. "
,100,"Mar 2, 2016",adlbray,"@stinkypig @Nova46 Canada has many of the same social problems that the US has and size doesn't really matter on things like education and healthcare. We as a nation spend way more per person on almost everything and there is no reason for it other than you have the private sector putting their noses in areas that should be government run, because a profit motive in education, and healthcare should be a the bottom of the list."
,101,"Mar 2, 2016",frylock243,@Nova46 Don't worry. You Canucks elected your own Brack Obama to run things. I expect the liberalism to start sinking you soon enough.
,102,"Mar 2, 2016",TSteinbach,"@Nova46 They also have individual income tax rates near 60% and corporate income tax rates around 25%. CNN did a story about Sanders type of socialism and compared it to Norway, interviewing locals. The Norwegians aren't fans of their personal income tax being 59%, at least the ones interviewed for the piece, which is the reason I personally am not a fan of democratic socialism. "
,103,"Mar 2, 2016",samantha222,"It means they have not had a meaningful job yet.
It used to be a temporary college type thing
but now without jobs - any - even poorly paid ones
its a longer desire to have someone take care of them such as Sanders.
Basically they know the Clintons have failed them so they will either not vote or vote for someone other than the criminal Ms Clinton who could not even please her husband and let him chase skirts.

Bemie met the desire of those who said - what's next in a failed Obama - Clinton world."
,104,"Mar 2, 2016",SGTChemistry,"Socialism is the most amazing ideology in the history of the world.  But what happens to socialism when you run out of other peoples' money?  DUH!  Socialism never takes into account the effect of the increase of the ""pie"" when people who want to make money for themselves increase the size of the pie."
,105,"Mar 2, 2016",newsworthy44,"So now Socialism has a new meaning...... Socialism hasn't changed in its basic tenants, it's just wearing a new blue dress so the millennials can embrace it.  Seems the millennials want an easy life and Socialism is attractive to the lazy. "
,106,"Mar 2, 2016",justme33355,@newsworthy44 Millennials have no clue what our history is or what this country is meant to be. Very sad.
,107,"Mar 2, 2016",samantha222,@justme33355 @newsworthy44  There are wonderful millenials who know a lot (and some do not) just like your generation
,108,"Mar 2, 2016",justme33355,@samantha222 @justme33355 @newsworthy44 If they knew a lot they would not be voting for Bernie
,109,"Mar 2, 2016",MrSoundByte,No I think you mean the Hippy generation. Baby boomer kids came of age in the 50's and early 60's
,110,"Mar 2, 2016",canisdirus,"@MrSoundByte
Exactly when the universities were infiltrated.  That's who has been teaching the generations.  It has come to fruition.  That's who raised the kids.  It's not just Millennials.  The rotten tree is the BB's, and it has born fruit ever since."
,111,"Mar 2, 2016",theteapar,@canisdirus @MrSoundByte relax. your generation will all be dead soon
,112,"Mar 2, 2016",justme33355,@theteapar @canisdirus @MrSoundByte You are sick.
,113,"Mar 2, 2016",stinkypig,@theteapar @canisdirus @MrSoundByte but you will get to pay off their debt!!!! Sick masochist!
,114,"Mar 2, 2016",MrSoundByte,@stinkypig @theteapar @canisdirus @MrSoundByte Too funny! :-)
,115,"Mar 2, 2016",parkhaven3,@MrSoundByte The Beat generation were adults during the late 40s and 50s. They begot the Boomers who begot the Gen Xers who begot the millennials. Did I leave anyone out? 
,116,"Mar 2, 2016",MrSoundByte,@parkhaven3 @MrSoundByte I'm an X'er but I can still think for myself. The millennials never had a chance! 
,117,"Mar 2, 2016",parkhaven3,"@MrSoundByte @parkhaven3 Many X'ers did good. There was a question for awhile, but in retrospect, they made very significant contributions to the society. "
,118,"Mar 2, 2016",canisdirus,"I'm not surprised.  The Baby Boomers are to blame however, not the kids.  That's the way they were raised.  Baby Boomer parents, Baby Boomer teachers.
Hate to break it to you all, but the BB generation has hollowed out the nation."
,119,"Mar 2, 2016",moonbatgaloop,"@canisdirus Actually its the no fault divorce laws from the 60's.
Most kids are raised by single moms.As are most of the prisoners in our prison system "
,120,"Mar 2, 2016",Nova46,"@moonbatgaloop @canisdirus

As was the president of the United States."
,121,"Mar 2, 2016",justme33355,@Nova46 @moonbatgaloop @canisdirus And he is a total failure.
,122,"Mar 2, 2016",Marfite,"""Those who fail to learn from history are doomed to repeat it."" George Santayana 1905  The entire history of the world of the 20th century was about the failure of socialism as proven by the murder of untold millions by governments."
,123,"Mar 2, 2016",parkhaven3,"@Marfite Communism has been thrown on the ash heap of history everywhere, to use some of Lenin's words. We are one of the last ones learning the historic and simple lesson that it doesn't work and has never worked anywhere or any time it has been tried. The legacy of communism is always monotonously the same; mass misery, mass poverty, mass corruption and often times, mass murder. "
,124,"Mar 2, 2016",moonbatgaloop,"Google "" Crybaby Generation"" and have a few good laughs"
,125,"Mar 2, 2016",GlennMoore,"Todays Millennial generation is also known by the less popular term ""the entitlement"" generation.  I was recently sent to a training class by my company to an outside firm that specializes in human resources and they flat out told us the following. Millennials do not take work as serious as other generations and for most it is not even a priority.  They will float from place to place looking for the job that allows them the most freedom to pursue outside interests and are the first generation that will not accept responsibility for their own actions and will in fact look to place blame on others and even their parents rather than accept accountability for their own decisions.  If that isn't sad then what is??"
,126,"Mar 2, 2016",SB117,"@GlennMoore
Gosh, kids don't take work as seriously as those in their 40s-50s?
Stop the presses. The world is ending."
,127,"Mar 2, 2016",seldls,"@SB117 
If you have a job you are not a kid anymore time to grow up. "
,128,"Mar 2, 2016",parkhaven3,"@GlennMoore Gosh, I wonder who taught them to do that. "
,129,"Mar 2, 2016",GlennMoore,@parkhaven3 @GlennMoore lousy parents and poor education system no doubt
,130,"Mar 2, 2016",MrSoundByte,@GlennMoore @parkhaven3 Bernie Sanders! he didn't get a job till 40 and still lived at home!
,131,"Mar 3, 2016",prydain12345,"@GlennMoore If I can get a job done in the time an employer needs it done and the assignment is still of good quality, why should I be confined to an office to do it?  Why can't I do it from a coffee shop, or my house, or hanging off the edge of a cliff? And is wanting work-life balance really such a bad thing?  The days of ""having a job just to make money"" are coming to an end, I think.  I want to do work that is meaningful to me and makes me feel fulfilled.  I don't want to work just because it ""pays the bills."" "
,132,"Mar 3, 2016",prydain12345,"@GlennMoore If I can get a job done in the time an employer needs it done and the assignment is still of good quality, why should I be confined to an office to do it?  Why can't I do it from a coffee shop, or my house, or hanging off the edge of a cliff? And is wanting work-life balance really such a bad thing?  The days of ""having a job just to make money"" are coming to an end, I think.  I want to do work that is meaningful to me and makes me feel fulfilled.  I don't want to work just because it ""pays the bills."" "
,133,"Mar 2, 2016",ShadowDarter,Cut the military budge by half and the national debt will go away under a decade.
,134,"Mar 2, 2016",moonbatgaloop,"@ShadowDarter
Military is necessary, your welfare is not, welfare is 3 times the military budget, go back to counting coins from your piggy bank"
,135,"Mar 2, 2016",parkhaven3,@ShadowDarter Cut the government in half and it will disappear far faster. 
,136,"Mar 2, 2016",MorleyDotes,"@ShadowDarter Wrong, the military budget is only 15% of the total US budget. You MUST be a millennial , not very good with math "
,137,"Mar 2, 2016",udtfroggman,MEllennial generation
,138,"Mar 2, 2016",udtfroggman,"America's millennial generation is by far the dumbest generation ever,26% of which still live in mommies basements, and the most Godless, Indoctrinated by the worlds worst government run schools.
Name One thing Constructive or beneficial the millennial generation has brought to the world ?
anyone?"
,139,"Mar 2, 2016",LtRecore,You clearly don't follow the many successes of start ups founded by young people.
,140,"Mar 2, 2016",udtfroggman,"@LtRecore

You clearly can not answer my question, All I asked is for one thing, for months I have posed the question. all I get is zip"
,141,"Mar 2, 2016",moonbatgaloop,@LtRecore What have they developed Einstein ? I too would like to know
,142,"Mar 2, 2016",parkhaven3,@moonbatgaloop @LtRecore Twitter and Facebook analogs. 
,143,"Mar 2, 2016",moonbatgaloop,"@parkhaven3 @moonbatgaloop @LtRecore
Evan Williams born 1972

get an education"
,144,"Mar 2, 2016",parkhaven3,@moonbatgaloop @parkhaven3 @LtRecore Even a stopped clock is right twice/day. LOL!
,145,"Mar 2, 2016",parkhaven3,@LtRecore Do you mean like what Bill Gates and Steve Jobs started? LOL! Twitter and Facebook infuse inefficiency and ineffectiveness into the work place unlike computers that actually add value. 
,146,"Mar 2, 2016",moonbatgaloop,"@parkhaven3 @LtRecore 
Bill Gates and Steve Jobs are/were Boomers
Imbecile


still have nothing"
,147,"Mar 2, 2016",parkhaven3,"@moonbatgaloop @parkhaven3 @LtRecore Of course they were, kind-of, sort-of. Actually, they were more Gen Xers. But, that is the point. The millennials haven't accomplished anything that even begins to approach what they did, numb-nutz."
,148,"Mar 2, 2016",moonbatgaloop,"@parkhaven3 @moonbatgaloop @LtRecore
so after 20 minutes you cant name a SINGLE thing mr. Goober from millennials?
Off the top of my head I can name 100's of things my generation has done"
,149,"Mar 2, 2016",parkhaven3,"@moonbatgaloop @parkhaven3 @LtRecore Well, why don't you list them for us then? Tell us what we couldn't live without before the millennials came along. "
,150,"Mar 2, 2016",moonbatgaloop,"@parkhaven3 @moonbatgaloop @LtRecore why bother Goober? just about everything in your house, the internet you use, the computer you're using, all medical devices and medicine,space travel. satellites  anything and everything  "
